Calculation name,Scenario,Line of sight,Frequency,Distance,Heigth of Base Station,Heigth of Media Station,Length of Grid(d1),Width of Grid(d2),Street Width(w),Result
pom1,B1,NLOS,0.7,200.0,20.0,1.5,200.0,26.88,33.0,21.601
pom 2,B1,NLOS,0.8,200.0,20.0,1.5,200.0,26.88,33.0,21.775
pom 3,B1,NLOS,0.9,200.0,20.0,1.5,200.0,26.88,33.0,21.929
pom 4,B1,NLOS,1.8,200.0,20.0,1.5,200.0,26.88,33.0,22.832
pom 5,B1,NLOS,2.1,200.0,20.0,1.5,200.0,26.88,33.0,23.033
pom 6,B1,NLOS,2.6,200.0,20.0,1.5,200.0,26.88,33.0,23.311
pom 7,B1,NLOS,3.5,200.0,20.0,1.5,200.0,26.88,33.0,23.698
pom 8,B1,NLOS,3.8,200.0,20.0,1.5,200.0,26.88,33.0,23.805
pom 9,B1,NLOS,4.5,200.0,20.0,1.5,200.0,26.88,33.0,24.025
pom 10,B1,NLOS,5.0,200.0,20.0,1.5,200.0,26.88,33.0,24.163
